code,display,definition
1,Паспорт гражданина СССР,
2,Загранпаспорт гражданина СССР,
3,Свидетельство о рождении,
4,Удостоверение личности офицера,
5,Справка об освобождении из места лишения свободы,
6,Паспорт Минморфлота,
7,Военный билет,
8,Дипломатический паспорт,
9,Паспорт иностранного гражданина,
10,Свидетельство о регистрации ходатайства иммигранта о признании его беженцем,
11,Вид на жительство в РФ,
12,Удостоверение беженца,
13,Временное удостоверение личности гражданина РФ,
14,Паспорт гражданина РФ,
15,Загранпаспорт гражданина РФ,
16,"Свидетельство о рождении, выданное уполномоченным органом иностранного государства ",
17,Паспорт моряка,
18,Военный билет офицера запаса,
19,Иные документы,
20,"Временное удостоверение, выданное взамен военного билета",
21,Разрешение на временное проживание в РФ,
22,Свидетельство о предоставлении временного убежища на территории РФ,
23,Удостоверение личности военнослужащего РФ,
24,"Документы, подтверждающие факт регистрации по месту жительства (пребывания)",
25,Свидетельство о регистрации по месту жительства,
26,Вид на жительство иностранного гражданина,
27,Свидетельство о регистрации по месту пребывания,
28,Свидетельство о смерти,